path,class,label,source_zip,original_name,group_id,duration,original_sample_rate,channels,subtype,read_error
/content/sound_project/classes/horn/horn__0000__1.자동차_10003_1.wav,horn,0,horn.zip,1.자동차_10003_1.wav,horn::1.자동차_10003_1,1.2459863945578231,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0001__1.자동차_10008_1.wav,horn,0,horn.zip,1.자동차_10008_1.wav,horn::1.자동차_10008_1,1.3189795918367346,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0002__1.자동차_10037_1.wav,horn,0,horn.zip,1.자동차_10037_1.wav,horn::1.자동차_10037_1,1.04,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0003__1.자동차_10042_1.wav,horn,0,horn.zip,1.자동차_10042_1.wav,horn::1.자동차_10042_1,1.0219954648526077,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0004__1.자동차_10063_1.wav,horn,0,horn.zip,1.자동차_10063_1.wav,horn::1.자동차_10063_1,1.0559863945578232,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0005__1.자동차_10066_1.wav,horn,0,horn.zip,1.자동차_10066_1.wav,horn::1.자동차_10066_1,1.13,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0006__1.자동차_10084_1.wav,horn,0,horn.zip,1.자동차_10084_1.wav,horn::1.자동차_10084_1,1.2819954648526077,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0007__1.자동차_10086_1.wav,horn,0,horn.zip,1.자동차_10086_1.wav,horn::1.자동차_10086_1,1.56,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0008__1.자동차_10093_1.wav,horn,0,horn.zip,1.자동차_10093_1.wav,horn::1.자동차_10093_1,1.0189795918367346,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0009__1.자동차_10115_1.wav,horn,0,horn.zip,1.자동차_10115_1.wav,horn::1.자동차_10115_1,1.1149886621315193,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0010__1.자동차_10124_1.wav,horn,0,horn.zip,1.자동차_10124_1.wav,horn::1.자동차_10124_1,1.0609977324263038,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0011__1.자동차_10126_1.wav,horn,0,horn.zip,1.자동차_10126_1.wav,horn::1.자동차_10126_1,1.6189795918367347,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0012__1.자동차_10164_1.wav,horn,0,horn.zip,1.자동차_10164_1.wav,horn::1.자동차_10164_1,1.6949886621315193,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0013__1.자동차_10170_1.wav,horn,0,horn.zip,1.자동차_10170_1.wav,horn::1.자동차_10170_1,1.0849886621315192,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0014__1.자동차_10173_1.wav,horn,0,horn.zip,1.자동차_10173_1.wav,horn::1.자동차_10173_1,0.7739909297052154,44100,1,PCM_16,
/content/sound_project/classes/horn/horn__0015__1.자동차_10181_1.wav,horn,0,horn.zip,1.자동차_10181_1.wav,horn::1.자동차_10181_1,1.0599773242630386,44100,1,PCM_16,
